device_id,dev_eui,dev_addr,timestamp,temperature,humidity,barometric_pressure,analog_in_1,analog_in_2,rssi,snr,latitude,longitude,gateway_id,frequency,spreading_factor,bandwidth
device-1330,404C527D16F9E34C,72DF7EAB,2025-02-01T00:12:05,10.73,36.72,1040.7,4.24,4.61,-57,-16.52,-84.423621,-47.06487,miss-bed-record,867100000,10,250000
device-3364,567D0ECC696FE95B,1F620468,2025-01-25T23:22:44,17.62,69.64,1014.7,3.6,0.92,-87,8.9,51.464754,51.274229,draw-benefit,868300000,7,125000
device-0236,0E909EB35A90763A,BE400D52,2025-06-30T15:52:53,-2.78,79.39,981.8,3.24,4.16,-31,14.79,-86.887541,147.60821,present-approach,867100000,10,125000
device-2272,A1FC0F56E68469C3,3FE4357D,2024-09-28T16:24:26,31.71,77.82,994.8,4.37,1.13,-51,4.87,-77.975912,-50.944099,thus-left-firm,867100000,12,125000
device-3584,1201F411A2B2301D,D6A93ACC,2025-04-13T11:10:50,-2.95,70.39,979.2,2.1,3.23,-74,-8.27,83.246326,117.732472,vote-speech-task,869500000,7,125000
device-3959,C6640DC2507C74D3,ED019E45,2024-09-30T01:16:13,35.57,66.24,1009.7,1.69,4.27,-90,-8.57,-87.537559,-145.573225,indeed-president,867100000,11,125000
device-4730,BD4380BCC7624CC5,2C9E08D0,2025-03-03T03:42:04,3.72,58.88,964.2,4.8,4.49,-98,13.56,-28.119208,-11.076815,body-room-letter,868300000,12,125000
device-2541,6C14373366EF5E3F,DEAF29CF,2024-11-13T16:43:21,30.0,72.67,959.8,0.59,4.99,-67,-1.41,13.918608,-96.972687,third-candidate,869500000,9,250000
device-3905,A8F2082CC7BD4594,A649D1B2,2025-04-02T00:21:14,36.84,21.0,955.2,2.3,3.94,-96,-14.55,6.237092,-27.766046,difference-computer,869500000,7,125000
device-4547,ACB3EB8946DF14F7,D8196BC0,2025-03-08T19:29:05,25.67,31.98,1045.7,4.39,2.4,-63,-7.11,27.862851,54.510309,throw-discussion,868300000,7,250000
device-2802,AA51ABA5FE9F536F,CF68E763,2024-08-13T08:28:02,24.65,51.07,1040.0,1.52,3.11,-96,-11.81,-77.483997,-138.580728,me-budget-between,869500000,9,250000
device-4677,95C870E5C9CEC3D9,CDA3FBB3,2025-03-30T06:30:20,14.92,88.8,1039.0,4.11,3.24,-108,5.43,51.163,-178.321238,skill-education,868300000,10,250000
device-2128,7E5738BDF7645CE9,921B1591,2025-01-08T03:55:27,49.3,42.02,1009.4,3.16,3.25,-101,-8.51,3.916349,78.583983,cold-seven-back,867100000,10,250000
device-1664,60B40539B99E4419,218148A4,2025-06-19T13:30:38,4.89,34.1,1046.2,2.01,4.68,-106,9.99,80.474953,69.955326,operation-growth,869500000,12,250000
device-4886,26325EDEC79DFD07,7FC2F90E,2024-12-03T11:21:02,9.02,36.32,1011.8,3.73,4.32,-56,-15.94,36.616398,38.037116,impact-foreign,867100000,10,250000
device-3099,2BDDAEA31832E2EC,5D99EF47,2024-10-29T16:18:30,-5.52,66.9,1013.0,1.71,3.23,-105,-17.4,-7.25989,7.222073,sport-then,867100000,11,250000
device-4050,211F641D63590004,1597741A,2024-08-12T04:03:55,44.76,85.23,1039.8,4.14,3.7,-52,-3.92,56.742739,-169.953311,edge-middle-tax,868300000,11,125000
device-4409,1BB5F70F2B918813,F03FDD94,2025-06-22T22:50:00,5.59,48.19,975.8,2.03,1.61,-85,-12.16,-16.451953,-165.952596,population-board,868300000,11,250000
device-4626,47E8E191CB6E66FB,46C7A452,2024-11-21T09:52:29,21.07,66.31,1047.4,2.1,2.28,-117,7.14,21.569947,12.619974,nature-lot-item,868300000,7,125000
device-4584,71629368EC71A4CC,0AC7933F,2025-01-26T19:47:07,19.6,77.02,1014.9,2.47,1.05,-118,-12.96,17.217648,-96.540672,face-color-hold,868300000,8,250000
device-0644,E9BAE0933C18F5FB,36A05BAB,2025-03-21T02:51:40,2.72,41.16,960.6,0.84,4.29,-81,0.21,50.457066,-52.513123,everyone-drug,868300000,9,125000
device-3972,373FFFAF7AE432C8,0B1FF92D,2024-10-04T20:44:02,44.39,74.66,962.7,2.82,2.33,-32,-16.2,-9.292861,-46.283048,child-road-a-heavy,869500000,11,125000
device-2862,8FA81E0FEFAD37B2,8B4B0651,2025-06-09T20:39:26,27.04,89.45,1043.0,4.64,1.6,-54,-10.2,36.074246,-109.04159,serve-keep-imagine,869500000,8,250000
device-4362,E3C06BEEE73D78DD,69009179,2025-01-13T15:24:26,34.1,76.41,970.7,1.6,2.56,-72,-10.67,7.441178,93.833297,music-newspaper,868300000,7,125000
device-0302,D4ADEE0481FE17D8,89CF326F,2025-06-14T14:27:15,38.98,18.61,973.5,0.83,1.33,-87,13.57,-45.939396,86.690613,customer-her,868300000,11,125000
device-3696,AC379FAF1AD87BB7,A9F0EC42,2025-03-26T11:08:40,-2.43,67.24,1046.0,4.66,2.14,-44,11.18,-71.851765,83.924799,cover-fish-quite,869500000,10,250000
